id,name,archetype
1127737,Sargasso the D.D. Battlefield,D.D.
1142880,Cyber Dragon Nachster,Cyber Dragon
1149109,Deck Lockdown,
1151281,Subterror Behemoth Phospheroglacier,Subterror
1154611,Paleozoic Leanchoilia,Paleozoic
1157683,Cyberdark Invasion,Cyberdark
1164211,Shield of the Millennium Dynasty,Millennium
1174075,Drytron Mu Beta Fafnir,Drytron
1184620,Kojikocy,
1186447,"Horoscope Sorcerer, the Stargazer Magician",Magician
1187243,Tailwind of Gusto,Gusto
1197847,Phantasm Spiral Wave,Phantasm Spiral
1200843,Mirror of Yata,
1218214,Cubic Dharma,Cubic
1224927,Malevolent Catastrophe,
1225009,Arianna the Labrynth Servant,Labrynth
1248895,Chain Destruction,
1249315,Herald of Pure Light,Herald
1259814,RGB Rainbowlution,
1264319,Gem-Knight Fusion,Gem-
1269512,Full Armored Utopic Ray Lancer,Utopic
1274455,Kozmo Soartroopers,Kozmo
1278431,Ancient Gear Frame,Ancient Gear
1281505,Vylon Tetra,Vylon
1287123,Prime Material Falcon,
1295111,Salamangreat Sanctuary,Salamangreat
1295442,Icejade Creation Aegirocassis,Icejade
1315120,T.G. Striker,T.G.
1322368,SPYRAL Double Helix,SPYRAL
1329620,Tearlaments Cryme,Tearlaments
1340142,"Varar, Vaalmonican Concord",Vaalmonica
1344018,Time Pendulumgraph,Magician
1347977,Mysterious Guard,
1353770,"Valhalla, Hall of the Fallen",
1357146,Ronintoadin,Frog
1362589,Photon Crusher,Photon
1371589,Vampiric Koala,Koala
1372887,Shared Ride,
1409474,Hazy Flame Sphynx,Hazy
1410324,Trickstar Hoody,Trickstar
1412158,Super Roboyarou,
1426714,Number 48: Shadow Lich,
1426715,Phantom Token,
1434352,Chaos Necromancer,Chaos
1435851,Dragon Treasure,
1474910,Bee List Soldier,
1475311,Allure of Darkness,
1482001,"Clara & Rushka, the Ventriloduo",
1487805,Cosmic Slicer Zer'oll,Alien
1490690,Canopic Protector,
1498130,Kagemusha of the Six Samurai,Six Samurai
1498449,Dracotail Faimena,Dracotail
1508649,Altergeist Hexstia,Altergeist
1516510,Rune-Eyes Pendulum Dragon,Odd-Eyes
1525329,The Hunter with 7 Weapons,
1527418,"Wiz, Sage Fur Hire",Fur Hire
1528054,Silhouhatte Rabbit,
1533292,R-Genex Magma,Genex
1539051,Space Gift,Neo-Spacian
1546123,Cyber End Dragon,
1557341,"Rose, Warrior of Revenge",Rose Dragon
1557499,Silver Bow and Arrow,
1561110,ABC-Dragon Buster,ABC
1566817,Cupid Serve,
1571945,White Ninja,Ninja
1580833,Dinomist Stegosaur,Dinomist
1586457,Deep-Space Cruiser IX,
1596508,Dimension Fortress Weapon,
1607603,Double Dai,
1621413,Dark Requiem Xyz Dragon,
1637760,Grand Horn of Heaven,
1639384,Divine Dragon Knight Felgrand,
1641882,Fusionist,
1644289,Vylon Segment,Vylon
1662004,Brotherhood of the Fire Fist - Spirit,Fire Fist
1665819,Replicard LAD,
1669772,Spell Purification,
1683982,Viper's Grudge,
1686814,Ultimaya Tzolkin,Power Tool
1688285,Traptrix Pinguicula,Traptrix
1689516,The Big March of Animals,
1697104,PSY-Framegear Epsilon,PSY-Frame
1710476,Malefic Cyber End Dragon,Malefic
1712616,Beetrooper Fly & Sting,Beetrooper
1735088,Wind-Up Zenmaintenance,Wind-Up
1759808,Fiendish Portrait,
1761063,Nekogal #1,
1764972,Doomkaiser Dragon/Assault Mode,Assault Mode
1769875,Chimera the King of Phantom Beasts,Chimera
1781310,Fuh-Rin-Ka-Zan,
1784619,Uraby,
1784686,The Eye of Timaeus,Dark Magician
1799464,Transcicada,
1801154,Centrifugal Field,
1802450,Sealing Ceremony of Mokuton,
1804528,Dark Coffin,
1825445,Super Quantal Union - Magnaformation,Super Quant
1826676,Toy Knight,
1828513,Shadow of the Six Samurai - Shien,Six Samurai
1833916,Heroic Challenger - Thousand Blades,Heroic
1834107,Wattcine,Watt
1834753,Overdrive Teleporter,
1845204,Instant Fusion,
1855886,Scar of the Vendread,Vendread
1855932,Bujintei Kagutsuchi,Bujin
1861629,Decode Talker,Code Talker
1872843,"Morpheus, the Dream Mirror White Knight",Dream Mirror
1876841,Morphtronic Scannen,Morphtronic
1896112,Dimension Explosion,
1906812,Sprind the Irondash Dragon,
1918087,Minor Goblin Official,
1929294,Key Mace,
1942635,Generaider Boss Loot,Generaider
1945387,Elemental HERO Nova Master,Elemental HERO
1948619,Xtra HERO Wonder Driver,Elemental HERO
1953925,Ancient Gear Engineer,Ancient Gear
1965724,Mokey Mokey Smackdown,
1966438,Abominable Unchained Soul,
1969506,Puppet Ritual,Gimmick Puppet
1980574,Hop Ear Squadron,
1984618,Nadir Servant,
1992816,Number 9: Dyson Sphere,
1995985,Silent Swordsman LV3,Silent Swordsman
2006591,Sinful Spoils Awakening,Sinful Spoils
2009101,Blackwing - Gale the Whirlwind,Blackwing
2047519,Hidden Soldiers,
2055403,Time-Space Trap Hole,Hole
2061963,Number 104: Masquerade,
2067935,Gladiator Beast Lanista,Gladiator Beast
2084239,Wetlands,
2088870,Worm Victory,Worm
2089016,Chronomaly Tuspa Rocket,Chronomaly
2091298,Constellar Praesepe,Constellar
2095764,"Bixi, Water of the Yang Zing",Yang Zing
2099841,Smile World,
2102065,Brinegir,
2106266,Galloping Gaia,Gaia The Fierce Knight
2111707,XY-Dragon Cannon,ABC
2116237,Loka Samsara,
2118022,Hyosube,
2122975,Trap Reclamation,
2129638,Blue-Eyes Twin Burst Dragon,Blue-Eyes
2130625,Numinous Healer,
2133971,Union Controller,
2134346,Asura Priest,
2137678,Meklord Army of Granel,Meklord
2139640,Amabie,
2144946,F.A. Off-Road Grand Prix,F.A.
2148918,Armor Ninjitsu Art of Rust Mist,Ninja
2158562,Cyber Prima,
2191144,Night Papilloperative,
2196767,Gambler of Legend,
2203790,XX-Saber Hyunlei,X-Saber
2204038,Valkyrie Brunhilde,Valkyrie
2204140,Book of Life,Book of
2220237,Secure Gardna,
2250266,Morphtronic Staplen,Morphtronic
2254222,Speedroid Wing Synchron,roid
2263869,Ultimate Slayer,
2266498,Vendread Reunion,Vendread
2273734,Satellarknight Altair,Tellarknight
2287848,Vendread Revolution,Vendread
2295440,One for One,
2295831,Symbol of Friendship,
2311090,Spright Carrot,Spright
2311603,Overdrive,
2314238,Dark Magic Attack,Dark Magician
2316186,Princess Curran,
2322421,Road Warrior,
2326738,Des Lacooda,
2333365,Tyr of the Nordic Champions,Nordic
2333466,Gandora-G the Dragon of Destruction,Gandora
2339825,T.G. Close,T.G.
2344618,Lunalight Masquerade,Lunalight
2347477,Micro Coder,Code Talker
2347656,Lovely Labrynth of the Silver Castle,Labrynth
2356994,Great Long Nose,
2359348,Pendulum Area,
2362787,Light of Redemption,
2364438,Mayakashi Return,Mayakashi
2368215,Abyss Actor - Hyper Director,Abyss Actor
2370081,Steel Shell,
2371506,Xyz Reflect,
2376209,Paleozoic Eldonia,Paleozoic
2377034,Neo Flamvell Hedgehog,Flamvell
2390019,Ojamassimilation,Ojama
2396042,Steel Cavalry of Dinon,
2403771,Power Tool Dragon,Power Tool
2405631,"Guoglim, Spear of the Ghoti",Ghoti
2407147,Laval Volcano Handmaiden,Laval
2407234,Number 69: Heraldry Crest,Heraldry
2411269,Agave Dragon,
2414168,Interrupt Resistor,
2420921,"Shire, Lightsworn Spirit",Lightsworn
2434862,Cubic Ascension,Cubic
2460565,Marauding Captain,
2461031,Inzektor Ladybug,Inzektor
2463794,Fiendsmith's Requiem,Fiendsmith
2468169,Sealmaster Meisei,
2483611,Water Omotics,
2501624,Dark Magician Girl the Magician's Apprentice,Dark Magician
2504891,Skull Knight,
2507443,Prima Light,
2511717,Legendary Six Samurai - Kageki,Six Samurai
2519690,Sky Galloping Gaia the Dragon Champion,Gaia The Fierce Knight
2521011,Brotherhood of the Fire Fist - Swallow,Fire Fist
2525268,"Defender, the Magical Knight",
2526224,Fire King High Avatar Kirin,Fire King
2530830,Galaxy-Eyes Cipher Blade Dragon,Cipher
2542230,Red Cocoon,Archfiend
2547033,Altergeist Haunted Rock,Altergeist
2561846,"Corruption Cell ""A""",Alien
2563463,Wandering Gryphon Rider,Adventurer
2572890,Majespecter Tempest,Majespecter
2584136,Shocktopus,
2602411,Wizard Buster Destruction Sword,Destruction Sword
2609443,Chronomaly Vimana,Chronomaly
2618045,Photon Chargeman,Photon
2619149,Gladiator Beast Samnite,Gladiator Beast
2625939,Spool Code,
2645637,"Yuki-Onna, the Absolute Zero Mayakashi",Mayakashi
2648201,ZW - Sleipnir Mail,Utopia
2656842,Beetrooper Scout Buggy,Beetrooper
2665273,"Jormungandr, Generaider Boss of Eternity",Generaider
2671330,Hyper Hammerhead,
2674965,Argostars - Home Stadium,Argostars
2694423,Medusa Worm,Worm
2725599,Rescue-ACE Arbitrator,Rescue-ACE
2729285,Fluffal Cat,Fluffal
2732323,Decoy Dragon,
2743001,Crystron Phoenix,Crystron
2752099,Rose Shaman,Rose
2759860,Graydle Impact,Graydle
2766877,Daigusto Phoenix,Gusto
2772236,Wattchimera,Watt
2772337,"Promethean Princess, Bestower of Flames",
2779999,Wall of Thorns,
2783661,Majesty with Eyes of Blue,Blue-Eyes
2792265,Servant of Catabolism,
2801664,Ancient Warriors - Valiant Zhang De,Ancient Warriors
2810642,PSY-Framegear Beta,PSY-Frame
2815176,"Zebufera, Vaalmonican Hallow Heathen",Vaalmonica
2819435,"Pacifis, the Phantasm City",Phantasm Spiral
2819436,Phantasm Spiral Token,Phantasm Spiral
2830619,Flame Viper,
2830693,Rainbow Kuriboh,Kuriboh
2833249,D. Tribe,
2834264,Beetrooper Armor Horn,Beetrooper
2843014,Nimble Sunfish,Nimble
2851070,Reflect Bounder,
2857636,Knightmare Phoenix,Knightmare
2863439,Fiend Reflection #2,
2881864,"Naglfar, Generaider Boss of Fire",Generaider
2896663,ZW - Dragonic Halberd,Zexal
2903036,Tribute Doll,
2906250,Grappler,
2924048,Karakuri Cash Shed,Karakuri
2926176,Curse of Royal,
2930675,World Legacy Key,Mekk-Knight
2948263,Gogogo Golem - Golden Form,Gogogo
2956282,Naturia Barkion,Naturia
2957055,Wicked Dragon with the Ersatz Head,
2964201,Ryu-Ran,
2971090,Orion the Battle King,
2971446,Sales Pitch,
2978414,Number 46: Dragluon,
2980764,Consecrated Light,
2986553,Twilight Rose Knight,Rose Dragon
2992036,Meklord Astro the Eradicator,Meklord
2992467,Click & Echo,
2994495,Fuhma Wave,
3019642,Cyberdark Keel,Cyberdark
3026686,Valkyrie Dritte,Valkyrie
3027001,Fake Trap,
3030892,Test Ape,Gladiator Beast
3040496,"Chaos Ruler, the Chaotic Magical Dragon",Chaos
3048768,Angello Vaalmonica,Vaalmonica
3055018,"Obsidim, the Ashened City",Ashened
3055837,Trap of Board Eraser,
3056267,Invader of the Throne,
3064425,Superheavy Samurai Soulbang Cannon,Superheavy
3070049,Snow Dragon,
3072077,Return Zombie,
3072808,Blackwing - Hillen the Tengu-wind,Blackwing
3078380,Timaeus the United Dragon,Legendary Knight
3078576,Yata-Garasu,
3084730,Bio-Insect Armor,
3096468,Tatsunecro,
3103067,Attack Guidance Armor,
3105404,Brilliant Spark,Gem-
3111207,Lappis Dragon,
3113667,Heavy Metal Raiders,
3113836,Gem-Knight Seraphinite,Gem-
3117804,Superheavy Samurai Big Benkei,Superheavy
3121655,Junk Dragonlet,Junk
3129133,Delta of Invitation,
3129635,Tiki Curse,
3134241,Flying Kamakiri #2,
3134857,Orcustrion,Orcust
3136426,Level Limit - Area B,
3137279,"Ixeep, Omen of the Ghoti",Ghoti
3146695,Psychic Reactor,
3149401,Ultimate Dragon of Pride and Soul,
3149764,Tutan Mask,
3160805,Exchange of Night and Day,
3167439,Dark World Punishment,Dark World
3167573,Puppet King,
3170832,Takuhee,
3171055,Chain Dispel,
3204467,Worm Solid,Worm
3211439,Forbidden Apocrypha,
3233859,Psychic Wheeleder,
3244563,Shield Spear,
3248469,Wannabee!,
3259760,Spellbound,
3280747,Sixth Sense,
3283679,Evoltile Lagosucho,Evolsaur
3285551,Rite of Aramesir,Adventurer
3287359,Magical Musket Mastermind Caspar,Magical Musket
3289027,"Parl, Hermit of Dark World",Dark World
3292267,Hieratic Sky Dragon Overlord of Heliopolis,Hieratic
3294539,Crimson Blade Dragon,
3298689,The Phantom Knights' Rank-Up-Magic Launch,Phantom Knights
3300267,Hieratic Dragon of Su,Hieratic
3322931,Stellar Wind Wolfrayet,
3355732,Icejade Kosmochlor,Icejade
3356494,Galaxy-Eyes Solflare Dragon,
3361010,Kitsuni Kitsunebi,
3366982,Alligator's Sword Dragon,Alligator
3370104,Cyber Phoenix,
3376703,Arcana Force V - The Hierophant,Arcana Force
3381441,Gravekeeper's Priestess,Gravekeeper's
3395226,Mozarta the Melodious Maestra,Melodious
3405259,C-Crush Wyvern,ABC
3410461,Alba-Lenatus the Abyss Dragon,
3422200,Crystron Sulfefnir,Crystron
3428069,"Buster Blader, the Destruction Swordmaster",Destruction Sword
3429238,Drill Warrior,
3431737,Assault Beast,Assault Mode
3461403,The Immortal Bushi Mourns the Mortal Body,
3486020,"Yoko, the Graceful Mayakashi",Mayakashi
3492538,Insect Armor with Laser Cannon,
3493058,Dicephoon,
3493978,Don Turtle,
3496543,Sinful Spoils of the White Forest,Sinful Spoils
3507053,Appliancer Dryer Drake,Appliancer
3510565,Stealth Bird,
3519195,Evil Assault,
3534077,Coach Soldier Wolfbark,
3536537,Evilswarm Zahak,Lswarm
3544583,Allvain the Essence of Vanity,
3549275,Dice Jar,Dice
3557275,White Duston,Duston
3560069,Latency,
3567660,Link Back,
3573512,Swordsman of Landstar,
3574681,Golden Rule,Crystal
3576031,Crystolic Potential,Crystron
3580032,Merlin,Noble Knight
3594985,Majespecter Draco - Ryu,Majespecter
3598351,Evil HERO Toxic Bubble,Evil HERO
3603242,Shreddder,
3606209,One Who Hunts Souls,
3606728,Gagaga Girl,Gagaga
3611830,"Endymion, the Mighty Master of Magic",Endymion
3627449,Skull Guardian,Guardian
3629090,Cyber Angel Idaten,Cyber Angel
3642509,Elemental HERO Great Tornado,Elemental HERO
3643300,The Legendary Fisherman,Umi
3648368,Ally of Justice Searcher,Ally of Justice
3657444,Cyber Valley,
3659803,Overload Fusion,
3679218,Knightmare Mermaid,Knightmare
3682106,Double Snare,
3685372,CXyz Gimmick Puppet Fanatix Machinix,CXyz
3693034,Karakuri Cash Inn,Karakuri
3701074,Dark Cure,
3715284,Meklord Army Deployer Obbligato,Meklord
3717252,Shaddoll Beast,Shaddoll
3723262,Wizard @Ignister,@Ignister
3732747,Water Element,
3734202,Naturia Sacred Tree,Naturia
3739500,End of the World Ruler,End of the World
3743515,Steamed Sabersaurus,Saber
3752422,Performapal Lebellman,Performapal
3758046,D/D/D Wave King Caesar,D/D
3773196,D.D. Scout Plane,D.D.
3775068,Indiora Doom Volt the Cubic Emperor,Cubic
3779493,Night's End Administrator,
3779662,Gladiator Beast Andabata,Gladiator Beast
3784434,Rampaging Rhynos,
3790062,Number 65: Djinn Buster,Djinn
3792766,Trickstar Delfiendium,Trickstar
3797883,Slot Machine,
3806388,Core of Chaos,Chaos
3810071,Monk Fighter,
3814632,Skypalace Gangaridai,
3819470,Seven Tools of the Bandit,
3825890,Gravekeeper's Visionary,Gravekeeper's
3828844,Rikka Queen Strenna,Rikka
3837261,Dragonic Warrior,Warrior
3841833,Fluffal Bear,Fluffal
3846170,"Karakuri Soldier mdl 236 ""Nisamu""",Karakuri
3859859,Performapal Sky Magician Girl,Magician Girl
3868277,TGX3-DX2,T.G.
3875465,Appliancer Electrilyrical World,Appliancer
3891471,Psychic Tuning,
3897065,Super Vehicroid - Stealth Union,Roid
3900605,Absorbing Jar,
3909436,Vendread Battlelord,Vendread
3912064,The Tripper Mercury,
3918345,Magical Reflect Slime,Slime
3954901,Felgrand Dragon,
3957130,Trisborrel Dragon,Borrel
3966653,Flower Cardian Boardefly,Flower Cardian
3972721,Greed Grado,Greed
3985011,Lucky Trinket,
3987233,Missus Radiant,
3989465,Lavalval Ignis,Laval
4008212,Break the Destiny,
4017398,Zexal Entrust,Zexal
4019153,Number 4: Numeron Gate Catvari,Numeron
4022819,Hieratic Dragon of Eset,Hieratic
4026187,Chronicler of Fairy Tail Tales,Fairy Tail
4031928,Change of Heart,
4035199,Shapesnatch,
4041838,Ninja Grandmaster Sasuke,Ninja
4042268,Island Turtle,
4055337,Orcust Knightmare,Orcust
4058065,Evilswarm Salamandra,Lswarm
4059313,Blaze Cannon,Blaze Accelerator
4064256,Zombie World,
4064925,Ancient Gear Advance,Ancient Gear
4068622,Blackwing - Aurora the Northern Lights,Blackwing
4072687,Unacceptable Result,Fortune Fairy
4079728,Gung-Ho! Springans!,Springans
4081094,The Second Sarcophagus,
4081665,Performage Stilts Launcher,Performage
4081825,Chaos Infinity,Chaos
4103668,"Tengu, the Winged Mayakashi",Mayakashi
4130270,G.B. Hunter,
4141820,Djinn Prognosticator of Rituals,Djinn
4145852,Zoodiac Ramram,Zoodiac
4145915,Gimmick Puppet Fiendish Knight,Gimmick Puppet
4148264,"Shiny Black ""C"" Squadder","""C"""
4149689,Goblin Fan,
4160316,Centur-Ion Bonds,Centur-Ion
4162088,Cyber Laser Dragon,Photon
4167084,The First Darklord,Darklord
4168871,Cards for Black Feathers,Blackwing
4178474,Raigeki Break,
4179255,Ancient Pixie Dragon,
4179849,Queen of Autumn Leaves,
4192696,"Eco, Mystical Spirit of the Forest",
4206964,Trap Hole,Hole
4215180,Lollipo☆Yummy,Yummy
4215636,Shrine of Mist Valley,Mist Valley
4227096,Mistaken Arrest,
4230620,Psi-Station,
4239451,Performapal Turn Toad,Performapal
4252828,Mermaid Archer,
4253484,Gladiator Beast Hoplomus,Gladiator Beast
4259068,Spell Economics,
4266839,Kiseitai,
4271596,King of the Ashened City,Ashened
4280258,"Apollousa, Bow of the Goddess",
4290468,Splendid Rose,Rose Dragon
4333086,Shiranui Style Swallow's Slash,Shiranui
4334811,Scrap Recycler,Scrap
4335427,"Sophia, Goddess of Rebirth",
4335645,Newdoria,
4341721,Hallo-Ween!,
4357063,Chronomaly City Babylon,Chronomaly
4367330,Zoodiac Bunnyblast,Zoodiac
4376658,Familiar-Possessed - Hiita,Charmer
4388680,Revendread Slayer,Vendread
4392470,Leo Wizard,Recolored counterpart
4398189,Witch of the White Forest,White Forest
4404099,The Dragon Dwelling in the Deep,
4408198,Exosister Arment,Exosister
4417407,Mecha Phantom Beast Blackfalcon,Mecha Phantom Beast
4423206,M-X-Saber Invoker,X-Saber
4433488,Cynet Cascade,
4440873,Drastic Drop Off,
4446672,Ancient Gear Explosive,Ancient Gear
4450854,Qlimate Change,Qli
4466015,Venom Burn,Venom
4472318,Bayerock Dragon,
4474060,SPYRAL GEAR - Drone,SPYRAL
4478086,Clock Spartoi,
4483598,Full Active Duplex,
4483989,Prepare to Strike Back,
4538826,"Chaos Emperor, the Dragon of Armageddon",Chaos
4542651,Yellow Luster Shield,
4545683,Meklord Emperor Granel,Meklord
4545854,Xyz Territory,
4549095,Battlin' Boxer Counterpunch,Battlin' Boxer
4550066,Rebuildeer,
4575541,Here There Be Dragons,
4582942,Vaalmonica Followed Rhythm,Vaalmonica
4587638,Roaring Earth,
4591250,Amazoness Empress,Amazoness
4599182,This Creepy Little Punk,Infernity
4606229,Numbers Last Hope,Galaxy
4611269,Lion Alligator,Alligator
4614116,Dark Energy,
4628897,Imperion Magnum the Superconductive Battlebot,Magnet Warrior
4632019,Yamatako Orochi,
4638410,Tyrant's Temper,
4647954,ZS - Ascended Sage,Zexal
4682617,Abyss Actors' Curtain Call,Abyss Actor
4688231,Metalfoes Mithrilium,Metalfoes
4694209,Card Guard,
4709881,Auram the World Chalice Blademaster,World Chalice
4722253,Lightray Gearfried,
4729591,Appliancer Kappa Scale,Appliancer
4731783,"A Bao A Qu, the Lightless Shadow",
4732017,Molten Zombie,
4740489,Magnetic Field,Magnet
4754691,Amphibious Bugroth MK-11,Bugroth
4756629,Evilswarm Kerykeion,Lswarm
4779091,Yubel - Terror Incarnate,Yubel
4779823,"Michael, the Arch-Lightsworn",Lightsworn
4786063,Superheavy Samurai Soulfire Suit,Superheavy
4796100,Chimera the Flying Mythical Beast,
4807253,Performage Flame Eater,Performage
4810585,Ancient Warriors Saga - Defense of Changban,Ancient Warriors
4810828,"Sauravis, the Ancient and Ascended",
4820694,Constellar Tempest,Constellar
4825390,Ichiroku's Ledger Book,
4836680,Performapal Odd-Eyes Seer,Odd-Eyes
4837861,Meklord Astro Dragon Triskelion,Meklord
4841383,Ragnaraika Bloom,Ragnaraika
4848423,Muscle Medic,
4849037,Performance of Sword,
4857085,Omega Goggles,
4861205,Call of the Mummy,
4869446,Judgment of the Desert,
4891376,Zalen the Shackled Dragon,
4896788,Spirit of the Pot of Greed,Greed
4904633,Shaddoll Core,Shaddoll
4904812,Genex Undine,Genex
4906301,Necro Gardna,
4909946,Boss on Parade,
4914353,Space Insulator,
4918855,Vampire Voivode,Vampire
4920010,Souls of the Forgotten,
4923662,Chaos Burst,Chaos
4928565,Tearlaments Kashtira,Kashtira
4929256,Mobius the Frost Monarch,Monarch
4931121,Full Force Virus,
4931562,Mountain Warrior,
4939890,Shaddoll Hedgehog,Shaddoll
4941482,Informer Spider,
4965193,"Chasma, Dragon Ruler of Auroras",Dragon Ruler
4991081,Harpie's Pet Dragon - Fearsome Fire Blast,Harpie
4993187,W:P Fancy Ball,P
4997565,Number 3: Cicada King,
4998619,Buster Gundil the Cubic Behemoth,Cubic
5008836,"Exodia, the Legendary Defender",Exodia
5010422,Prediction Princess Astromorrigan,Prediction Princess
5014629,Submersible Carrier Aero Shark,
