banlist_id,card_id,card_name,status
6,41482598,Mirage of Nightmare,Limited
6,42829885,The Forceful Sentry,Limited
6,43586926,Twin-Headed Behemoth,Limited
6,44095762,Mirror Force,Limited
6,44519536,Left Leg of the Forbidden One,Limited
6,44763025,Delinquent Duo,Limited
6,45986603,Snatch Steal,Limited
6,53129443,Dark Hole,Limited
6,53839837,Vampire Lord,Limited
6,55144522,Pot of Greed,Limited
6,56747793,United We Stand,Limited
6,61740673,Imperial Order,Limited
6,62279055,Magic Cylinder,Limited
6,69243953,Butterfly Dagger - Elma,Limited
6,70368879,Upstart Goblin,Limited
6,70828912,Premature Burial,Limited
6,70903634,Right Arm of the Forbidden One,Limited
6,71044499,Nobleman of Crossout,Semi-Limited
6,71413901,Breaker the Magical Warrior,Limited
6,72302403,Swords of Revealing Light,Limited
6,72892473,Card Destruction,Limited
6,74131780,Exiled Force,Limited
6,74191942,Painful Choice,Limited
6,77585513,Jinzo,Limited
6,78010363,Witch of the Black Forest,Limited
6,78706415,Fiber Jar,Limited
6,79106360,Morphing Jar #2,Semi-Limited
6,79571449,Graceful Charity,Limited
6,79575620,Injection Fairy Lily,Limited
6,82301904,Chaos Emperor Dragon - Envoy of the End,Limited
6,83555666,Ring of Destruction,Limited
6,83746708,Mage Power,Limited
6,83764719,Monster Reborn,Limited
6,97077563,Call of the Haunted,Limited
7,2851070,Reflect Bounder,Limited
7,3078576,Yata-Garasu,Forbidden
7,4031928,Change of Heart,Forbidden
7,7902349,Left Arm of the Forbidden One,Limited
7,8124921,Right Leg of the Forbidden One,Limited
7,8131171,Sinister Serpent,Limited
7,12580477,Raigeki,Forbidden
7,17375316,Confiscation,Limited
7,17484499,Exchange of the Spirit,Limited
7,18144507,Harpie's Feather Duster,Forbidden
7,19613556,Heavy Storm,Limited
7,21593977,Makyura the Destructor,Semi-Limited
7,26202165,Sangan,Limited
7,28566710,Last Turn,Semi-Limited
7,31036355,Creature Swap,Semi-Limited
7,32807846,Reinforcement of the Army,Semi-Limited
7,33184167,Tribe-Infecting Virus,Limited
7,33396948,Exodia the Forbidden One,Limited
7,33508719,Morphing Jar,Semi-Limited
7,34124316,Cyber Jar,Forbidden
7,34206604,Magical Scientist,Limited
7,36468556,Ceasefire,Limited
7,37576645,Reckless Greed,Limited
7,40737112,Dark Magician of Chaos,Limited
7,41482598,Mirage of Nightmare,Limited
7,42829885,The Forceful Sentry,Limited
7,43586926,Twin-Headed Behemoth,Limited
7,44095762,Mirror Force,Limited
7,44519536,Left Leg of the Forbidden One,Limited
7,44763025,Delinquent Duo,Forbidden
7,45986603,Snatch Steal,Limited
7,53129443,Dark Hole,Limited
7,53839837,Vampire Lord,Limited
7,55144522,Pot of Greed,Limited
7,56747793,United We Stand,Limited
7,61740673,Imperial Order,Forbidden
7,62279055,Magic Cylinder,Limited
7,69243953,Butterfly Dagger - Elma,Limited
7,70368879,Upstart Goblin,Limited
7,70828912,Premature Burial,Limited
7,70903634,Right Arm of the Forbidden One,Limited
7,71044499,Nobleman of Crossout,Semi-Limited
7,71413901,Breaker the Magical Warrior,Limited
7,72302403,Swords of Revealing Light,Limited
7,72892473,Card Destruction,Limited
7,72989439,Black Luster Soldier - Envoy of the Beginning,Limited
7,74131780,Exiled Force,Limited
7,74191942,Painful Choice,Forbidden
7,77121851,Manticore of Darkness,Semi-Limited
7,77585513,Jinzo,Limited
7,78010363,Witch of the Black Forest,Limited
7,78706415,Fiber Jar,Forbidden
7,79571449,Graceful Charity,Limited
7,79575620,Injection Fairy Lily,Forbidden
7,82301904,Chaos Emperor Dragon - Envoy of the End,Limited
7,83555666,Ring of Destruction,Limited
7,83746708,Mage Power,Limited
7,83764719,Monster Reborn,Limited
7,97077563,Call of the Haunted,Limited
8,2460565,Marauding Captain,Semi-Limited
8,2851070,Reflect Bounder,Limited
8,3078576,Yata-Garasu,Forbidden
8,3280747,Sixth Sense,Limited
8,4031928,Change of Heart,Limited
8,5318639,Mystical Space Typhoon,Limited
8,7902349,Left Arm of the Forbidden One,Limited
8,8124921,Right Leg of the Forbidden One,Limited
8,8131171,Sinister Serpent,Limited
8,12580477,Raigeki,Forbidden
8,17375316,Confiscation,Limited
8,17484499,Exchange of the Spirit,Limited
8,18144507,Harpie's Feather Duster,Forbidden
8,19613556,Heavy Storm,Limited
8,21593977,Makyura the Destructor,Semi-Limited
8,24221739,Protector of the Sanctuary,Limited
8,26202165,Sangan,Forbidden
8,28566710,Last Turn,Semi-Limited
8,31036355,Creature Swap,Semi-Limited
8,32807846,Reinforcement of the Army,Semi-Limited
8,33184167,Tribe-Infecting Virus,Limited
8,33396948,Exodia the Forbidden One,Limited
8,33508719,Morphing Jar,Limited
8,34124316,Cyber Jar,Limited
8,34206604,Magical Scientist,Limited
8,36468556,Ceasefire,Limited
8,37576645,Reckless Greed,Limited
8,40737112,Dark Magician of Chaos,Limited
8,41482598,Mirage of Nightmare,Limited
8,42829885,The Forceful Sentry,Limited
8,43586926,Twin-Headed Behemoth,Limited
8,44095762,Mirror Force,Forbidden
8,44519536,Left Leg of the Forbidden One,Limited
8,44763025,Delinquent Duo,Forbidden
8,45986603,Snatch Steal,Limited
8,53129443,Dark Hole,Forbidden
8,53582587,Torrential Tribute,Limited
8,53839837,Vampire Lord,Limited
8,55144522,Pot of Greed,Limited
8,56747793,United We Stand,Forbidden
8,57728570,Crush Card Virus,Limited
8,61740673,Imperial Order,Forbidden
8,62279055,Magic Cylinder,Limited
8,69243953,Butterfly Dagger - Elma,Limited
8,70368879,Upstart Goblin,Limited
8,70828912,Premature Burial,Limited
8,70903634,Right Arm of the Forbidden One,Limited
8,71044499,Nobleman of Crossout,Semi-Limited
8,71413901,Breaker the Magical Warrior,Limited
8,72302403,Swords of Revealing Light,Limited
8,72892473,Card Destruction,Limited
8,72989439,Black Luster Soldier - Envoy of the Beginning,Limited
8,74131780,Exiled Force,Limited
8,74191942,Painful Choice,Limited
8,77121851,Manticore of Darkness,Semi-Limited
8,77585513,Jinzo,Limited
8,78010363,Witch of the Black Forest,Forbidden
8,78706415,Fiber Jar,Limited
8,79106360,Morphing Jar #2,Semi-Limited
8,79571449,Graceful Charity,Forbidden
8,79575620,Injection Fairy Lily,Limited
8,82301904,Chaos Emperor Dragon - Envoy of the End,Forbidden
8,83555666,Ring of Destruction,Limited
8,83746708,Mage Power,Limited
8,83764719,Monster Reborn,Forbidden
8,97077563,Call of the Haunted,Limited
9,2460565,Marauding Captain,Semi-Limited
9,2851070,Reflect Bounder,Limited
9,3078576,Yata-Garasu,Forbidden
9,3136426,Level Limit - Area B,Semi-Limited
9,3280747,Sixth Sense,Forbidden
9,4031928,Change of Heart,Forbidden
9,5318639,Mystical Space Typhoon,Limited
9,7572887,D.D. Warrior Lady,Limited
9,7902349,Left Arm of the Forbidden One,Limited
9,8124921,Right Leg of the Forbidden One,Limited
9,8131171,Sinister Serpent,Limited
9,9744376,Good Goblin Housekeeping,Semi-Limited
9,12580477,Raigeki,Forbidden
9,16226786,Night Assailant,Semi-Limited
9,17375316,Confiscation,Forbidden
9,17484499,Exchange of the Spirit,Limited
9,18144507,Harpie's Feather Duster,Forbidden
9,18318842,Abyss Soldier,Semi-Limited
9,19613556,Heavy Storm,Limited
9,21593977,Makyura the Destructor,Forbidden
9,24221739,Protector of the Sanctuary,Limited
9,26202165,Sangan,Limited
9,28566710,Last Turn,Semi-Limited
9,31036355,Creature Swap,Semi-Limited
9,31305911,Marshmallon,Limited
9,32807846,Reinforcement of the Army,Semi-Limited
9,33184167,Tribe-Infecting Virus,Limited
9,33396948,Exodia the Forbidden One,Limited
9,33508719,Morphing Jar,Limited
9,34124316,Cyber Jar,Limited
9,34206604,Magical Scientist,Forbidden
9,35027493,Deck Devastation Virus,Limited
9,36468556,Ceasefire,Limited
9,37576645,Reckless Greed,Limited
9,40737112,Dark Magician of Chaos,Limited
9,41482598,Mirage of Nightmare,Forbidden
9,42829885,The Forceful Sentry,Forbidden
9,43586926,Twin-Headed Behemoth,Limited
9,44095762,Mirror Force,Limited
9,44519536,Left Leg of the Forbidden One,Limited
9,44763025,Delinquent Duo,Limited
9,45986603,Snatch Steal,Limited
9,53046408,Emergency Provisions,Semi-Limited
9,53129443,Dark Hole,Forbidden
9,53582587,Torrential Tribute,Limited
9,53839837,Vampire Lord,Semi-Limited
9,55144522,Pot of Greed,Limited
9,56747793,United We Stand,Limited
9,57728570,Crush Card Virus,Limited
9,61441708,Sacred Phoenix of Nephthys,Limited
9,61587183,Dark Scorpion - Chick the Yellow,Semi-Limited
9,61740673,Imperial Order,Forbidden
9,62279055,Magic Cylinder,Limited
9,69162969,Lightning Vortex,Limited
9,69243953,Butterfly Dagger - Elma,Forbidden
9,70368879,Upstart Goblin,Semi-Limited
9,70828912,Premature Burial,Limited
9,70903634,Right Arm of the Forbidden One,Limited
9,71044499,Nobleman of Crossout,Semi-Limited
9,71413901,Breaker the Magical Warrior,Limited
9,72302403,Swords of Revealing Light,Limited
9,72892473,Card Destruction,Limited
9,72989439,Black Luster Soldier - Envoy of the Beginning,Limited
9,74131780,Exiled Force,Limited
9,74191942,Painful Choice,Forbidden
9,77121851,Manticore of Darkness,Semi-Limited
9,77585513,Jinzo,Limited
9,78010363,Witch of the Black Forest,Forbidden
9,78706415,Fiber Jar,Forbidden
9,79571449,Graceful Charity,Limited
9,79575620,Injection Fairy Lily,Limited
9,82301904,Chaos Emperor Dragon - Envoy of the End,Forbidden
9,83555666,Ring of Destruction,Limited
9,83746708,Mage Power,Limited
9,83764719,Monster Reborn,Forbidden
9,85742772,Gravity Bind,Semi-Limited
9,97077563,Call of the Haunted,Limited
10,2851070,Reflect Bounder,Limited
10,3078576,Yata-Garasu,Forbidden
10,3136426,Level Limit - Area B,Semi-Limited
10,3280747,Sixth Sense,Forbidden
10,4031928,Change of Heart,Forbidden
10,5318639,Mystical Space Typhoon,Limited
10,7572887,D.D. Warrior Lady,Limited
10,7902349,Left Arm of the Forbidden One,Limited
10,8124921,Right Leg of the Forbidden One,Limited
10,8131171,Sinister Serpent,Forbidden
10,9744376,Good Goblin Housekeeping,Semi-Limited
10,12580477,Raigeki,Forbidden
10,14087893,Book of Moon,Limited
10,16226786,Night Assailant,Limited
10,17375316,Confiscation,Limited
10,17484499,Exchange of the Spirit,Limited
10,18144507,Harpie's Feather Duster,Forbidden
10,18318842,Abyss Soldier,Semi-Limited
10,19613556,Heavy Storm,Limited
10,21593977,Makyura the Destructor,Forbidden
10,23171610,Limiter Removal,Limited
10,24221739,Protector of the Sanctuary,Limited
10,26202165,Sangan,Limited
10,28566710,Last Turn,Semi-Limited
10,31036355,Creature Swap,Semi-Limited
10,31305911,Marshmallon,Limited
10,32807846,Reinforcement of the Army,Semi-Limited
10,33184167,Tribe-Infecting Virus,Limited
10,33396948,Exodia the Forbidden One,Limited
10,33508719,Morphing Jar,Limited
10,34124316,Cyber Jar,Limited
10,34206604,Magical Scientist,Forbidden
10,34853266,Tsukuyomi,Limited
10,35027493,Deck Devastation Virus,Limited
10,36468556,Ceasefire,Limited
10,37576645,Reckless Greed,Limited
10,40737112,Dark Magician of Chaos,Limited
10,41482598,Mirage of Nightmare,Forbidden
10,42829885,The Forceful Sentry,Forbidden
10,43586926,Twin-Headed Behemoth,Limited
10,44095762,Mirror Force,Forbidden
10,44519536,Left Leg of the Forbidden One,Limited
10,44763025,Delinquent Duo,Forbidden
10,45986603,Snatch Steal,Limited
10,46411259,Metamorphosis,Limited
10,53046408,Emergency Provisions,Semi-Limited
10,53129443,Dark Hole,Limited
10,53582587,Torrential Tribute,Limited
10,55144522,Pot of Greed,Limited
10,56747793,United We Stand,Limited
10,57728570,Crush Card Virus,Limited
10,61441708,Sacred Phoenix of Nephthys,Limited
10,61740673,Imperial Order,Forbidden
10,62279055,Magic Cylinder,Limited
10,63519819,Thousand-Eyes Restrict,Limited
10,69162969,Lightning Vortex,Limited
10,69243953,Butterfly Dagger - Elma,Forbidden
10,70368879,Upstart Goblin,Semi-Limited
10,70828912,Premature Burial,Limited
10,70903634,Right Arm of the Forbidden One,Limited
10,71044499,Nobleman of Crossout,Semi-Limited
10,71413901,Breaker the Magical Warrior,Limited
10,72302403,Swords of Revealing Light,Limited
10,72892473,Card Destruction,Limited
10,72989439,Black Luster Soldier - Envoy of the Beginning,Forbidden
10,73915051,Scapegoat,Limited
10,74131780,Exiled Force,Limited
10,74191942,Painful Choice,Forbidden
10,77121851,Manticore of Darkness,Semi-Limited
10,77585513,Jinzo,Limited
10,78010363,Witch of the Black Forest,Forbidden
10,78706415,Fiber Jar,Forbidden
10,79571449,Graceful Charity,Forbidden
10,79575620,Injection Fairy Lily,Limited
10,82301904,Chaos Emperor Dragon - Envoy of the End,Forbidden
10,83555666,Ring of Destruction,Forbidden
10,83746708,Mage Power,Limited
10,83764719,Monster Reborn,Forbidden
10,85742772,Gravity Bind,Semi-Limited
10,97077563,Call of the Haunted,Limited
11,2851070,Reflect Bounder,Semi-Limited
11,3078576,Yata-Garasu,Forbidden
11,3136426,Level Limit - Area B,Limited
11,3280747,Sixth Sense,Forbidden
11,4031928,Change of Heart,Forbidden
11,5318639,Mystical Space Typhoon,Limited
11,7572887,D.D. Warrior Lady,Limited
11,7902349,Left Arm of the Forbidden One,Limited
11,8124921,Right Leg of the Forbidden One,Limited
11,8131171,Sinister Serpent,Forbidden
11,9156135,Apprentice Magician,Semi-Limited
11,9744376,Good Goblin Housekeeping,Semi-Limited
11,12538374,Treeborn Frog,Limited
11,12580477,Raigeki,Forbidden
11,14087893,Book of Moon,Limited
11,15341821,Dandylion,Limited
11,16226786,Night Assailant,Limited
11,17375316,Confiscation,Limited
11,17484499,Exchange of the Spirit,Forbidden
11,18144507,Harpie's Feather Duster,Forbidden
11,19613556,Heavy Storm,Limited
11,21593977,Makyura the Destructor,Forbidden
11,23171610,Limiter Removal,Limited
11,24221739,Protector of the Sanctuary,Limited
11,26202165,Sangan,Limited
11,28566710,Last Turn,Forbidden
11,28933734,Mask of Darkness,Limited
11,29762407,Temple of the Kings,Limited
11,31036355,Creature Swap,Semi-Limited
11,31305911,Marshmallon,Limited
11,31560081,Magician of Faith,Semi-Limited
11,32807846,Reinforcement of the Army,Semi-Limited
11,33184167,Tribe-Infecting Virus,Forbidden
11,33396948,Exodia the Forbidden One,Limited
11,33508719,Morphing Jar,Limited
11,34124316,Cyber Jar,Forbidden
11,34206604,Magical Scientist,Forbidden
11,34853266,Tsukuyomi,Limited
11,35027493,Deck Devastation Virus,Semi-Limited
11,35316708,Time Seal,Forbidden
11,36468556,Ceasefire,Limited
11,37576645,Reckless Greed,Limited
11,40737112,Dark Magician of Chaos,Limited
11,41482598,Mirage of Nightmare,Forbidden
11,42829885,The Forceful Sentry,Forbidden
11,43586926,Twin-Headed Behemoth,Limited
11,44095762,Mirror Force,Limited
11,44519536,Left Leg of the Forbidden One,Limited
11,44763025,Delinquent Duo,Forbidden
11,44910027,Victory Dragon,Forbidden
11,45986603,Snatch Steal,Limited
11,46411259,Metamorphosis,Limited
11,53046408,Emergency Provisions,Semi-Limited
11,53129443,Dark Hole,Forbidden
11,53582587,Torrential Tribute,Limited
11,55144522,Pot of Greed,Forbidden
11,55773067,Drop Off,Limited
11,56747793,United We Stand,Limited
11,57728570,Crush Card Virus,Limited
11,61441708,Sacred Phoenix of Nephthys,Limited
11,61740673,Imperial Order,Forbidden
11,62279055,Magic Cylinder,Limited
11,63519819,Thousand-Eyes Restrict,Limited
11,67169062,Pot of Avarice,Limited
11,69162969,Lightning Vortex,Limited
11,69243953,Butterfly Dagger - Elma,Forbidden
11,70074904,D.D. Assailant,Limited
11,70368879,Upstart Goblin,Semi-Limited
11,70828912,Premature Burial,Limited
11,70903634,Right Arm of the Forbidden One,Limited
11,71044499,Nobleman of Crossout,Semi-Limited
11,71413901,Breaker the Magical Warrior,Limited
11,72302403,Swords of Revealing Light,Limited
11,72892473,Card Destruction,Limited
11,72989439,Black Luster Soldier - Envoy of the Beginning,Forbidden
11,73915051,Scapegoat,Limited
11,74131780,Exiled Force,Limited
11,74191942,Painful Choice,Forbidden
11,77121851,Manticore of Darkness,Semi-Limited
11,77585513,Jinzo,Limited
11,78010363,Witch of the Black Forest,Forbidden
11,78706415,Fiber Jar,Forbidden
11,79571449,Graceful Charity,Limited
11,79575620,Injection Fairy Lily,Limited
11,82301904,Chaos Emperor Dragon - Envoy of the End,Forbidden
11,83555666,Ring of Destruction,Forbidden
11,83746708,Mage Power,Limited
11,83764719,Monster Reborn,Forbidden
11,85602018,Last Will,Limited
11,85742772,Gravity Bind,Semi-Limited
11,97077563,Call of the Haunted,Limited
11,98494543,Magical Stone Excavation,Limited
12,3078576,Yata-Garasu,Forbidden
12,3136426,Level Limit - Area B,Limited
12,3280747,Sixth Sense,Forbidden
12,4031928,Change of Heart,Forbidden
12,5318639,Mystical Space Typhoon,Limited
12,7572887,D.D. Warrior Lady,Limited
12,7902349,Left Arm of the Forbidden One,Limited
12,8124921,Right Leg of the Forbidden One,Limited
12,8131171,Sinister Serpent,Forbidden
12,9156135,Apprentice Magician,Semi-Limited
12,9596126,Chaos Sorcerer,Forbidden
12,9744376,Good Goblin Housekeeping,Semi-Limited
12,12538374,Treeborn Frog,Limited
12,12580477,Raigeki,Forbidden
12,14087893,Book of Moon,Limited
12,15341821,Dandylion,Limited
12,16226786,Night Assailant,Limited
12,17078030,Wall of Revealing Light,Semi-Limited
12,17375316,Confiscation,Limited
12,17484499,Exchange of the Spirit,Forbidden
12,18144507,Harpie's Feather Duster,Forbidden
12,19613556,Heavy Storm,Limited
12,21593977,Makyura the Destructor,Forbidden
12,23171610,Limiter Removal,Limited
12,23205979,Spirit Reaper,Limited
12,24221739,Protector of the Sanctuary,Limited
12,26202165,Sangan,Limited
12,28566710,Last Turn,Forbidden
12,28933734,Mask of Darkness,Limited
12,29762407,Temple of the Kings,Forbidden
12,31036355,Creature Swap,Semi-Limited
12,31305911,Marshmallon,Limited
12,31560081,Magician of Faith,Limited
12,32807846,Reinforcement of the Army,Semi-Limited
12,33184167,Tribe-Infecting Virus,Forbidden
12,33396948,Exodia the Forbidden One,Limited
12,33508719,Morphing Jar,Limited
12,34124316,Cyber Jar,Forbidden
12,34206604,Magical Scientist,Forbidden
12,34853266,Tsukuyomi,Forbidden
12,35027493,Deck Devastation Virus,Semi-Limited
12,35316708,Time Seal,Forbidden
12,36468556,Ceasefire,Limited
12,37576645,Reckless Greed,Semi-Limited
12,40737112,Dark Magician of Chaos,Limited
12,41482598,Mirage of Nightmare,Forbidden
12,42703248,Giant Trunade,Semi-Limited
12,42829885,The Forceful Sentry,Forbidden
12,43586926,Twin-Headed Behemoth,Limited
12,44095762,Mirror Force,Limited
12,44519536,Left Leg of the Forbidden One,Limited
12,44763025,Delinquent Duo,Forbidden
12,44910027,Victory Dragon,Limited
12,45986603,Snatch Steal,Forbidden
12,46411259,Metamorphosis,Limited
12,46668237,"Green Baboon, Defender of the Forest",Limited
12,53129443,Dark Hole,Forbidden
12,53582587,Torrential Tribute,Limited
12,55144522,Pot of Greed,Forbidden
12,56747793,United We Stand,Limited
12,57728570,Crush Card Virus,Limited
12,61441708,Sacred Phoenix of Nephthys,Limited
12,61740673,Imperial Order,Forbidden
12,62279055,Magic Cylinder,Limited
12,63519819,Thousand-Eyes Restrict,Forbidden
12,67169062,Pot of Avarice,Limited
12,69243953,Butterfly Dagger - Elma,Forbidden
12,70074904,D.D. Assailant,Limited
12,70368879,Upstart Goblin,Semi-Limited
12,70828912,Premature Burial,Limited
12,70903634,Right Arm of the Forbidden One,Limited
12,71044499,Nobleman of Crossout,Limited
12,71413901,Breaker the Magical Warrior,Limited
12,72302403,Swords of Revealing Light,Limited
12,72892473,Card Destruction,Limited
12,72989439,Black Luster Soldier - Envoy of the Beginning,Forbidden
12,73915051,Scapegoat,Limited
12,74131780,Exiled Force,Semi-Limited
12,74191942,Painful Choice,Forbidden
12,77121851,Manticore of Darkness,Semi-Limited
12,77565204,Future Fusion,Limited
12,77585513,Jinzo,Limited
12,78010363,Witch of the Black Forest,Forbidden
12,78706415,Fiber Jar,Forbidden
12,79571449,Graceful Charity,Limited
12,79575620,Injection Fairy Lily,Limited
12,80604092,Ultimate Offering,Limited
12,82301904,Chaos Emperor Dragon - Envoy of the End,Forbidden
12,83555666,Ring of Destruction,Limited
12,83746708,Mage Power,Limited
12,83764719,Monster Reborn,Forbidden
12,85602018,Last Will,Limited
12,85742772,Gravity Bind,Limited
12,97077563,Call of the Haunted,Limited
12,98494543,Magical Stone Excavation,Limited
13,3078576,Yata-Garasu,Forbidden
13,3136426,Level Limit - Area B,Limited
13,3280747,Sixth Sense,Forbidden
13,3659803,Overload Fusion,Limited
13,4031928,Change of Heart,Forbidden
13,5318639,Mystical Space Typhoon,Limited
13,7572887,D.D. Warrior Lady,Limited
13,7902349,Left Arm of the Forbidden One,Limited
13,8124921,Right Leg of the Forbidden One,Limited
13,8131171,Sinister Serpent,Forbidden
13,9156135,Apprentice Magician,Semi-Limited
13,9596126,Chaos Sorcerer,Forbidden
13,9744376,Good Goblin Housekeeping,Semi-Limited
13,12538374,Treeborn Frog,Limited
13,12580477,Raigeki,Forbidden
13,14087893,Book of Moon,Limited
13,15341821,Dandylion,Limited
13,15800838,Mind Crush,Limited
13,16226786,Night Assailant,Limited
13,17078030,Wall of Revealing Light,Semi-Limited
13,17375316,Confiscation,Limited
13,17484499,Exchange of the Spirit,Forbidden
